team,name,season_year,games_played,Volume,Qualite,Penetration,Rebonds,Finishing,RecoveryPossession,PuckExchanges,cluster,distance_to_centroid
STL,STL,2021-2022,82,-0.7485027170330144,0.6650320523867111,1.0901284342231006,-0.6308607344075742,2.1524088497501412,0.7880806634265988,1.002645657634694,1,3.1554040907410257
PHI,PHI,2021-2022,82,-0.5032571529972373,0.8111077077745067,0.7663950845174062,0.8982282747643491,-0.43999593224739675,-0.8948494531895812,-0.639548397820616,1,2.1815832159090602
DET,DET,2021-2022,82,-1.0510798217196107,1.2460189173873957,1.3875201606169767,0.49545952711091845,-0.248986840431737,-0.8228327309673188,-0.16862935859844494,4,2.5695797517287438
BUF,BUF,2021-2022,82,-0.8561945927864835,-1.6458784829793676,1.2187597410181494,-1.6003709811155058,0.4262306165582593,-0.4058168915424716,1.5627937018429519,3,3.0523847760674645
SJS,SJS,2021-2022,82,-0.9015833941362638,0.10243292976885769,-0.55978752565785606,-0.7700946470453341,-1.3686943363692605,1.4905999280379783,0.22801793995499875,5,2.404747370804457
COL,COL,2021-2022,82,0.8968103097243619,-0.5601174817336373,0.20130231489571707,0.5883578089354448,1.2693914283917493,1.1685664785892358,0.03205794513159739,1,2.5141225922310477
BOS,BOS,2021-2022,82,1.4793425005892822,-0.6234678344855141,4.291094034822523,0.48670460348554384,-0.28109868210492245,-0.06794894007285496,-1.7964572033551778,4,2.7450612269269654
NYR,NYR,2021-2022,82,-1.1493813545942433,-0.502807081551161,0.08508386791526988,-0.07337369700648386,0.4539534011827936,0.21564256930464726,-0.12728901594846292,1,1.4185462158039575
MTL,MTL,2021-2022,82,-0.8050219478905745,0.12172234517007234,0.3362599510622949,0.10291736864989377,-0.06832423639591244,-2.569168751966394,0.17092441270104672,1,2.5062460602374776
TBL,TBL,2021-2022,82,0.05087163692712411,1.3738211551409754,-0.6284716801277205,-1.4523326013894107,0.07581661669756812,1.8735257023702658,-2.154863276159672,1,3.5960592970721494
LAK,LAK,2021-2022,82,1.1561676459312284,0.2506192664261131,0.020898275733392247,1.2228193973392574,-2.1691342410090404,-0.35225849724918057,-0.39043697649385833,1,2.922085380738178
ANA,ANA,2021-2022,82,-0.6368720136474303,-0.7848812003256118,-0.4023292206572875,0.09501468242398453,-0.07828985054594896,-1.1397839401305487,0.17454319939719823,1,1.5490725759584754
CAR,CAR,2021-2022,82,1.8922726550539442,0.972665075996582,-1.0889735068570785,3.5123483698829983,-0.49666730556613375,0.3817455553425106,-0.3921022039700628,5,3.515013068198088
DAL,DAL,2021-2022,82,-0.2597127994625413,1.1455274997685376,-1.1040680163640841,0.7297026471474545,-1.7995612301851425,-1.7505271181539395,0.1684272878433851,3,2.4389558816968657
NYI,NYI,2021-2022,82,-1.1417142770370927,-0.2550855482459978,-0.04076363351126267,-0.4553629510654584,0.3300484409590903,-1.4190097859139434,-0.054230314969345196,1,1.3785204718570472
NJD,NJD,2021-2022,82,0.26850337800854956,0.2902624037601637,-0.32560827502204276,-0.4524832773059469,-0.019787930682850813,-0.04406874377089276,1.9598945217812653,1,1.9279679161497738
WSH,WSH,2021-2022,82,-0.03071168357834588,-1.1895073701113685,-0.5783928611312649,-0.3372434123223401,1.0276097201602699,0.05937429022062834,-0.010413042473946355,1,1.0915354820916472
CGY,CGY,2021-2022,82,1.6339283543896639,-1.2142907785863881,-0.23164240182459167,0.19439343112019042,0.4972440767111889,-0.9797081303053725,0.3418375100933197,1,2.6861084995767035
CHI,CHI,2021-2022,82,-1.4452470279367213,-2.1424578883698993,-0.23024236416521984,-2.2876394283107904,0.3267386303746868,-0.11219843546674163,0.5220719576615384,3,3.489823657186093
TOR,TOR,2021-2022,82,1.197217908855639,1.7815182543921253,-0.20775529555700908,-0.4555436294550109,0.1667002896894877,0.7882526733874667,1.4167652917990552,2,2.730939113162002
MIN,MIN,2021-2022,82,0.1414928773616791,-0.547449925722147,0.5217043744123592,0.07135810273122542,3.0887784412285972,0.3514600651308661,-1.5935334799799907,2,2.1706336863511364
ARI,ARI,2021-2022,82,-1.9812713404985924,-0.7204709561549084,-1.2120471547414025,-0.32678944368308804,1.1575498967388478,-0.7412246887018229,-0.223914371065538,1,2.4977350410254133
SEA,SEA,2021-2022,82,-0.4611834750524957,-1.4272024026271588,-1.2211772709387387,-1.2062857924814876,0.024023761345666486,0.48148761003982016,0.3144668982468182,1,2.154357187740301
CGY,CGY,2022-2023,82,1.9153436137306694,-1.1946752938784415,-0.2515708529721696,1.156969411508891,-0.22196929737548624,-0.3844417985555297,-0.1281131764765959,2,2.7626142019360187
EDM,EDM,2022-2023,82,0.5186888264733157,1.2828528183382935,1.3478661736235242,-1.101844715505065,0.27583506402315416,0.19735419181761987,0.6774440999006514,5,2.351214997306682
CHI,CHI,2022-2023,82,-1.8779326299650443,-0.5326524458992227,0.0604889400552164,-0.6829069474235894,-0.2869585743170594,-0.022653841680043686,0.8274835221226707,1,2.245460349567972
ANA,ANA,2022-2023,82,-1.7823463917776967,-1.5107794953138018,1.0370316064324134,0.09744010738256874,0.14323180201871297,-1.3754090625147128,-0.45162241186796453,3,2.0596491927332923
PIT,PIT,2022-2023,82,1.1914303910905284,1.216366204819495,0.32116702402794134,1.7962402616451834,-1.7804508112024757,0.09504460137484999,0.009463485998122405,4,2.610875890430781
WSH,WSH,2022-2023,82,0.03808916552854462,0.02072965247611801,-0.43021457969745874,0.691001200901235,0.10570940519920867,-0.4592014207841503,0.13452944491352667,1,1.4213143118110032
BOS,BOS,2022-2023,82,0.4558201918077689,1.0815876226998649,1.934770804274779,-0.3711822763335442,1.1529975733478455,-0.9702412196898477,-0.480387678001392,2,1.4157097544788668
FLA,FLA,2022-2023,82,1.703035648335761,0.21505297331563658,0.9088523464231191,1.0097543144147492,-0.07928331352700876,-0.17796811305019206,-0.7715821972299474,1,2.8380346378199786
NSH,NSH,2022-2023,82,-0.4250792493973685,1.8664549121983636,-1.3169268607132087,0.6503161538017501,-1.8546670487728467,-0.08581646331050027,-1.6776822052294649,1,3.502276279937049
NJD,NJD,2022-2023,82,1.3418038911777082,0.5821006950120581,-0.11460625444205748,1.1216849394544635,-0.31042295450393814,-0.26026197002660006,1.157028054839474,1,2.6302375428801725
BUF,BUF,2022-2023,82,0.17492765320267073,-0.25374399647486995,1.3053596277076231,-0.17150173727797577,1.2232619954174457,0.41374641624422626,1.9305715133316772,1,2.77770061158719
MTL,MTL,2022-2023,82,-1.1854750571515844,0.16679690304407976,-0.11921073504358486,-0.4667469866185966,0.6942427228504183,-2.5877558017670577,0.8439052775396023,1,3.1130898729192684
OTT,OTT,2022-2023,82,0.6926440942256932,0.181734803811182,-0.15747770534314362,0.0599906333569982,-1.682505660439149,-0.5260030705599188,-1.8864570516527075,1,2.43703387312187
NYI,NYI,2022-2023,82,0.03071732113258248,0.27447937550529317,-1.008063413013967,1.513555028023856,-0.038345592816330064,-0.7427968785613717,-0.30822569423182417,1,1.8582450107240938
